gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
ENAH,14.94118,1.5486025,1.7779908764458955e-50,1.3974587462621793e-48,0.2947103274559194,0.1261682242990654,0.168542103156854
C12orf75,14.911053,1.9503123,2.7931353330498973e-50,2.182424507582458e-48,0.25307228455843067,0.08554996405463695,0.16752232050379373
UQCRQ,14.84977,0.9027031,6.98086518891376e-50,5.4068123792618936e-48,0.48080299213800476,0.3443565780014378,0.13644641413656694
CD63,14.839965,0.34229866,8.079847177585908e-50,6.239802910457768e-48,0.8778337531486146,0.8691588785046729,0.008674874643941677
C1orf122,14.836743,1.6759608,8.477203497838661e-50,6.527692409379185e-48,0.2787191817418518,0.11466570812365205,0.16405347361819972
LOX,14.749687,1.0504776,3.090940850199097e-49,2.366395810558767e-47,0.4160369437447523,0.2588066139468009,0.15723032979795143
JTB,14.518047,1.120669,9.31254244926969e-48,7.048347655478593e-46,0.3791695290435845,0.2293314162473041,0.14983811279628037
AL078639.1,14.410364,28.441841,4.453557852083212e-47,3.351649232250498e-45,0.16590336615525533,0.0,0.16590336615525533
BEX3,14.346211,1.1772598,1.1251860898030986e-46,8.443981260369807e-45,0.3562705137012442,0.20093457943925233,0.15533593426199185
COL16A1,14.326185,1.5948074,1.5014445029512253e-46,1.1235880187437255e-44,0.27249828257384934,0.10927390366642703,0.1632243789074223
MMP2,14.259731,0.73979,3.899532634935177e-46,2.9018202795430786e-44,0.6120906801007556,0.4877785765636233,0.12431210353713235
SSR2,14.129223,0.9754617,2.5089672705419098e-45,1.851478458589344e-43,0.418708495534692,0.2785765636232926,0.14013193191139944
ARL4C,14.07586,2.2369578,5.3450662148637224e-45,3.922569863648333e-43,0.22002137241431952,0.0603882099209202,0.15963316249339932
TUBA1A,14.024141,0.8772939,1.1094693584774486e-44,8.11960412598124e-43,0.4775589649645065,0.35837526959022287,0.11918369537428364
EGR1,13.987396,0.93100494,1.86101816982457e-44,1.3582365027351517e-42,0.47175788107778033,0.3465132997843278,0.1252445812934525
ADAMTS2,13.983145,2.271385,1.9756245528506084e-44,1.4379299142747745e-42,0.21601404472940997,0.05751258087706686,0.1585014638523431
A1BG,13.903386,2.0967429,6.041402526934557e-44,4.37318527331181e-42,0.21880009159606137,0.05787203450754853,0.16092805708851285
ITGBL1,13.756789,1.3073326,4.636651532216333e-43,3.31121732808761e-41,0.3173421876192657,0.1700215672178289,0.14732062040143679
TSPAN13,13.750015,4.0138655,5.091886353744553e-43,3.6265697821334523e-41,0.17097931455614077,0.012940330697340043,0.15803898385880072
NBL1,13.736774,0.86722076,6.113980298837136e-43,4.3428877170830847e-41,0.46805587359743533,0.3443565780014378,0.12369929559599752
EFEMP2,13.729655,1.3041664,6.745340633013005e-43,4.778579180176626e-41,0.3096710174795817,0.1588785046728972,0.15079251280668451
TPM1,13.699912,0.8491805,1.0164712052358516e-42,7.18180160592969e-41,0.48660407602473094,0.3702372393961179,0.11636683662861302
ELOB,13.692041,0.6280234,1.1328080770147967e-42,7.982540948004002e-41,0.6197236852148691,0.5244428468727534,0.09528083834211565
TMED3,13.574836,1.7752343,5.647042773669393e-42,3.9582938872111105e-40,0.24219525227081903,0.08986340762041696,0.15233184465040206
