gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AC004448.3,0.0,,,,,,
AC004449.1,-17.67442,,,,,,
AC004466.1,-1.6806335,,,,,,
AC004466.3,-15.829343,,,,,,
AC004470.1,0.0,,,,,,
AC004471.1,0.0,,,,,,
AC004471.2,-17.16128,,,,,,
AC004477.2,0.0,,,,,,
AC004477.3,0.56811994,,,,,,
AC004485.1,0.0,,,,,,
AC004490.1,-16.453196,,,,,,
AC004492.1,-0.30132225,,,,,,
AC004494.1,-0.45244002,,,,,,
AC004520.1,0.19248047,,,22.276617,,,
AC004522.2,-17.425592,,,,,,
AC004528.1,-19.723286,,,,,,
AC004528.2,-17.472803,,,,,,
AC004540.1,0.71162426,,,,,,
AC004540.2,-0.62734526,,,,,,
AC004542.1,0.0,,,,,,
AC004542.2,0.0,,,,,,
AC004543.1,0.0,,,,,,
AC004551.1,0.0,,,,,,
AC004554.2,-17.131266,,,,,,
AC004556.1,-0.5431086,,,21.747793,,,
AC004584.1,0.0,,,,,,
AC004585.1,-20.862288,,,,,,
AC004590.1,0.0,,,,,,
AC004593.1,0.0,,,,,,
AC004593.3,0.0,,,,,,
AC004594.1,0.0,,,,,,
AC004596.1,0.0,,,,,,
AC004597.1,0.0,,,,,,
AC004637.1,0.0,,,,,,
AC004672.1,0.0,,,,,,
AC004674.1,0.0,,,,,,
AC004687.1,0.8634192,,,,,,
AC004690.2,0.0,,,,,,
AC004691.1,0.0,,,,,,
AC004691.2,0.0,,,,,,
AC004692.2,0.0,,,,,,
AC004702.1,0.0,,,,,,
AC004704.1,0.0,,,,,,
AC004706.1,0.0,,,,,,
AC004707.1,-18.983858,,,,,,
AC004754.1,0.22756751,,,,,,
AC004771.1,-1.8822867,,,,,,
AC004771.2,-0.003838429,,,,,,
AC004771.3,0.45199907,,,,,,
AC004771.4,-2.2245562,,,,,,
AC004771.5,-17.1852,,,,,,
AC004775.1,1.8510997,,,,,,
AC004784.1,-16.44987,,,,,,
AC004801.3,0.0,,,,,,
AC004801.4,0.0,,,,,,
AC004801.5,0.0,,,,,,
AC004801.6,-1.0326692,,,,,,
AC004803.1,0.65598273,,,,,,
AC004805.1,0.0,,,,,,
AC004812.2,0.32940817,,,,,,
AC004816.1,-16.243217,,,,,,
AC004816.2,-0.4959954,,,,,,
AC004817.1,0.0,,,,,,
AC004817.2,0.0,,,,,,
AC004817.3,1.439119,,,,,,
AC004817.4,0.0,,,,,,
AC004824.1,0.0,,,,,,
AC004825.2,-0.2861549,,,,,,
AC004828.1,0.0,,,,,,
AC004830.1,18.843145,,,,,,
AC004832.1,0.0,,,,,,
AC004832.3,18.033222,,,,,,
AC004832.6,2.7804909,,,,,,
AC004834.1,0.0095015,,,,,,
AC004835.1,0.0,,,,,,
AC004837.2,0.0,,,,,,
AC004837.3,-16.484085,,,,,,
AC004839.1,-0.18041554,,,,,,
AC004846.1,-1.5011289,,,,,,
AC004846.2,0.8007302,,,,,,
AC004852.2,0.0,,,,,,
AC004854.2,0.44610235,,,,,,
AC004862.1,-16.158045,,,,,,
AC004865.2,0.6636656,,,,,,
AC004869.1,0.0,,,,,,
AC004869.2,0.0,,,,,,
AC004870.3,0.0,,,,,,
AC004870.4,0.0,,,,,,
AC004872.1,0.0,,,,,,
AC004875.1,0.0,,,,,,
AC004877.1,-1.8555918,,,,,,
AC004882.1,0.0,,,,,,
AC004882.2,0.0,,,,,,
AC004884.2,0.0,,,,,,
AC004888.1,0.0,,,,,,
AC004889.1,-0.6054655,,,,,,
AC004895.1,18.463707,,,,,,
AC004906.1,0.0,,,,,,
AC004908.1,-16.39904,,,,,,
AC004908.3,-1.2906817,,,,,,
AC004918.1,-1.6053352,,,,,,
AC004920.1,0.0,,,,,,
