gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane,target_score
CREB3L1,21.8762,1.1257951,4.378385233653241e-106,9.235363771463044e-104,0.9017175572519084,0.6344827586206897,0.2672347986312187,False,True,1.0151492309479313
SEC61G,26.695187,1.0322306,5.353301486567011e-157,2.895790729943297e-154,0.9742366412213741,0.8934601664684899,0.08077647475288419,False,True,1.0056368879234518
FXYD5,19.39051,1.3297285,9.281094073850972e-84,1.353344926299191e-81,0.7318702290076335,0.3693222354340071,0.36254799357362644,False,True,0.9731886902155766
TENM3,18.17951,1.8188646,7.50017988022213e-74,9.048238590751433e-72,0.5295801526717557,0.1633769322235434,0.3662032204482123,False,True,0.9632345840676141
PMEPA1,17.778923,1.0983249,1.0293801428380187e-70,1.1663294334628876e-68,0.8759541984732825,0.5990487514863257,0.27690544698695674,False,True,0.9620823029798407
KDELR3,19.35701,1.0960517,1.779142472559781e-83,2.560896147841628e-81,0.8625954198473282,0.6019024970273484,0.2606929228199798,False,True,0.9454491702654889
UQCR11,23.92604,0.96821874,1.641374608152172e-126,4.91503764358996e-124,0.958969465648855,0.8064209274673009,0.15254853818155412,False,True,0.9284922113741627
YIF1A,20.459545,1.0786227,4.939745734417491e-93,8.49585602260994e-91,0.8540076335877863,0.6470868014268728,0.2069208321609135,False,True,0.9211520185224883
LAMP5,16.513535,1.8426152,2.9319641384448023e-61,2.7088763987647873e-59,0.4952290076335878,0.16860879904875148,0.3266202085848363,False,True,0.9125165201097954
OSTC,24.47104,0.9545166,3.0053010782582835e-132,1.0079178756262631e-129,0.9494274809160306,0.8775267538644471,0.07190072705158346,False,True,0.9062442811959572
VKORC1,22.75687,0.9338093,1.2269620904747301e-114,3.070884670921007e-112,0.9656488549618321,0.8378121284185494,0.1278367265432827,False,True,0.9017318623666545
OST4,24.205318,0.90161246,1.955585038687579e-129,6.129571124065796e-127,0.9799618320610687,0.9043995243757431,0.07556230768532557,False,True,0.8835457987116493
