gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
FNDC3B,0.46157753,0.204175,0.6443843049280062,1.0,0.1774544621377019,0.18296189791516895,-0.00550743577746704
NRBP2,0.4614367,0.39693186,0.6444853425256438,1.0,0.02268301065414137,0.01689432063263839,0.005788690021502979
NAP1L3,0.45994288,0.7310518,0.6455572148028065,1.0,0.015465689082369114,0.009705248023005032,0.005760441059364083
WDR26,0.4595891,0.2278684,0.645811187261558,1.0,0.07389162561576355,0.0693745506829619,0.004517074932801651
ATF7IP,0.45955306,0.23414622,0.6458370571446276,1.0,0.06083171039065185,0.05571531272465852,0.005116397665993332
SBNO2,0.45830825,0.56359136,0.6467310068565721,1.0,0.018329705579104134,0.012580877066858375,0.005748828512245759
MAOB,0.45690945,0.4844255,0.6477361326839605,1.0,0.022568449994271968,0.01689432063263839,0.005674129361633577
EVL,0.45689633,0.29105544,0.6477455514230451,1.0,0.047084431206323746,0.041696621135873475,0.0053878100704502704
STXBP5,0.4564541,0.45926154,0.6480634669259551,1.0,0.02577614847061519,0.020129403306973402,0.005646745163641789
STOM,0.45586118,0.18748978,0.6484898098955224,1.0,0.19360751517928743,0.201294033069734,-0.007686517890446581
SCG2,0.45567116,23.372528,0.6486264524736381,1.0,0.005728032993470042,0.0,0.005728032993470042
AC018797.2,0.45567116,23.284483,0.6486264524736381,1.0,0.005728032993470042,0.0,0.005728032993470042
PGAP1,0.4555991,0.43069732,0.6486782855120938,1.0,0.03173330278382403,0.026240115025161753,0.005493187758662279
RNF152,0.45554996,0.44502974,0.6487136271959459,1.0,0.03631572917860007,0.030913012221423435,0.005402716957176635
TKFC,0.45488498,0.962694,0.6491919957570446,1.0,0.011112384007331883,0.005391804457225018,0.0057205795501068645
BHLHB9,0.45427567,3.5572608,0.649630430955611,1.0,0.006071714973078245,0.0003594536304816679,0.005712261342596578
MPP5,0.4525755,0.39913842,0.6508544480166393,1.0,0.03769045709703288,0.03235082674335011,0.0053396303536827686
ANKDD1A,0.45213,0.6099748,0.6511753482809801,1.0,0.022797571314010768,0.017253774263120056,0.005543797050890711
ZNF519,0.451406,0.7787522,0.6516969490654223,1.0,0.015351128422499714,0.009705248023005032,0.005645880399494683
SDK1,0.4507312,0.19645526,0.6521833006092426,1.0,0.03872150303585749,0.03306973400431344,0.005651769031544046
PPP1R37,0.4491424,0.46141565,0.6533289354852848,1.0,0.01500744644289151,0.009345794392523364,0.005661652050368147
ARNT,0.44865102,0.27887723,0.6536834212357877,1.0,0.06965288120059572,0.06542056074766354,0.004232320452932176
