gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
MRPL28,29.104944,1.7042366,3.108294331960279e-186,1.362437994607739e-184,0.8295711060948081,0.23652416356877323,0.5930469425260348
SCARA3,29.104221,1.7320133,3.1743833526980493e-186,1.3897419941237873e-184,0.8487584650112867,0.2983271375464684,0.5504313274648183
VASP,29.089739,1.692204,4.8405401017436865e-186,2.1166519441316478e-184,0.8329571106094809,0.24953531598513012,0.5834217946243507
TMEM147,29.07973,1.4958065,6.478505323603741e-186,2.829514258280393e-184,0.9159142212189616,0.37174721189591076,0.5441670093230508
UFC1,29.067482,1.2639523,9.253051102942665e-186,4.0364918994958467e-184,0.9610609480812641,0.5613382899628253,0.39972265811843877
CDC42EP3,29.05668,2.0706189,1.2670274743308086e-185,5.520619709584238e-184,0.7285553047404063,0.15845724907063197,0.5700980556697743
MED10,29.048483,1.2936146,1.6081836223527868e-185,6.99875393318811e-184,0.9554176072234764,0.5566914498141264,0.3987261574093499
YRDC,29.045752,2.6839666,1.741188106309846e-185,7.568584880159188e-184,0.6297968397291196,0.06923791821561338,0.5605589215135062
SLC39A7,29.012114,1.222681,4.628385609014885e-185,2.0094770259779926e-183,0.9706546275395034,0.6282527881040892,0.34240183943541413
ARL6IP4,28.980173,0.92452085,1.1698103712636875e-184,5.0728743587975075e-183,0.9836343115124153,0.8382899628252788,0.14534434868713653
MZT2A,28.979324,1.3138745,1.1989999326063578e-184,5.193301483241739e-183,0.9604966139954854,0.5264869888475836,0.43400962514790176
RPS12,28.968168,0.48389387,1.6571631020344887e-184,7.169287179014455e-183,0.9988713318284425,0.9990706319702602,-0.0001993001418177931
SNRNP25,28.962336,1.9144157,1.962579480771196e-184,8.480567768149443e-183,0.731941309255079,0.14451672862453532,0.5874245806305437
PSMA2,28.938946,1.0033131,3.865807672454325e-184,1.666531929467942e-182,0.9785553047404063,0.7890334572490706,0.18952184749133572
ERI3,28.91495,1.6048565,7.74586455960014e-184,3.335278151545472e-182,0.8662528216704289,0.29228624535315983,0.5739665763172691
SMAP2,28.899475,1.9547048,1.2121841028766986e-183,5.2133887385766354e-182,0.7505643340857788,0.17239776951672864,0.5781665645690501
LAMTOR1,28.853958,1.1937622,4.519327119062909e-183,1.9391251179097592e-181,0.968961625282167,0.6212825278810409,0.3476790974011261
RAB27A,28.836914,2.171861,7.393806297966269e-183,3.1687741276998293e-181,0.6738148984198645,0.10130111524163568,0.5725137831782289
CDC123,28.832497,1.5333751,8.399420999135455e-183,3.5955416206825454e-181,0.8882618510158014,0.3183085501858736,0.5699533008299278
NDUFA8,28.825672,1.5564187,1.022797579023641e-182,4.3680736747100653e-181,0.8797968397291196,0.3025092936802974,0.5772875460488223
KIFAP3,28.822813,1.4524081,1.110791484723095e-182,4.738341298469147e-181,0.9367945823927766,0.43866171003717475,0.49813287235560183
ARSI,28.811657,4.1163263,1.532573221958692e-182,6.529939455609793e-181,0.5626410835214447,0.022304832713754646,0.5403362508076901
BACE2,28.796663,1.6113648,2.3615624315328236e-182,1.0050370348151319e-180,0.8549661399548533,0.2778810408921933,0.5770850990626599
RNF145,28.773785,1.5529832,4.5662008691949154e-182,1.9410331220967933e-180,0.8905191873589164,0.34804832713754646,0.5424708602213699
PSMA4,28.768461,1.1991897,5.322917571379822e-182,2.2600786904002495e-180,0.9717832957110609,0.6435873605947955,0.32819593511626544
ZNRD2,28.7517,1.6478833,8.625256041524898e-182,3.657988077865716e-180,0.8216704288939052,0.2300185873605948,0.5916518415333104
NDUFB10,28.751204,1.0859647,8.74916778340319e-182,3.7062446860249625e-180,0.9746049661399548,0.7239776951672863,0.25062727097266857
FBXW5,28.722988,1.4999214,1.9703244813607093e-181,8.327237415450572e-180,0.904627539503386,0.349907063197026,0.55472047630636
GGH,28.710741,2.022511,2.8019012433894004e-181,1.1828095214308195e-179,0.7178329571106095,0.15427509293680297,0.5635578641738065
CHPF2,28.70522,1.9005961,3.2837940661522017e-181,1.3846412767415966e-179,0.7443566591422122,0.15985130111524162,0.5845053580269706
SEC11A,28.696938,0.78968453,4.166158162295972e-181,1.7546765102420322e-179,0.9853273137697517,0.9140334572490706,0.0712938565206811
MRPL13,28.665125,1.4899031,1.0386444755197684e-180,4.364453249600864e-179,0.9012415349887133,0.3517657992565056,0.5494757357322078
EFEMP2,28.643478,1.2583902,1.932754732849957e-180,8.112250369530784e-179,0.9683972911963883,0.6194237918215614,0.3489734993748269
EIF3K,28.621265,0.7802838,3.653685150232461e-180,1.5317855269015818e-178,0.9870203160270881,0.9131040892193308,0.07391622680775722
