gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
FAM24B,-0.54432076,-1.1155165,0.5862207450525789,1.0,0.02099236641221374,0.031051415366839977,-0.010059048954626237,False,False
TSKS,-0.54548734,-2.6388466,0.5854183833730106,1.0,0.0028625954198473282,0.013287117273252455,-0.010424521853405127,False,False
ORC4,-0.545797,-0.7913296,0.585205496517373,1.0,0.14217557251908397,0.13908145580589254,0.0030941167131914304,False,False
LRRC18,-0.5465675,-3.3424838,0.5846759109763326,1.0,0.0028625954198473282,0.013287117273252455,-0.010424521853405127,False,False
AL117335.1,-0.54661787,-2.1952903,0.584641272961724,1.0,0.008587786259541985,0.018919699595609473,-0.010331913336067488,False,False
SREBF1,-0.5474892,-0.581819,0.5840426810210411,1.0,0.258587786259542,0.23209127671865973,0.026496509540882257,False,True
AC007405.3,-0.5482525,-1.0122643,0.5835185292721786,1.0,0.061068702290076333,0.06860196418255343,-0.007533261892477099,False,False
ZCWPW1,-0.54909503,-0.84390247,0.5829402390457015,1.0,0.05725190839694656,0.06542461005199307,-0.008172701655046508,False,False
ALG1L,-0.54928946,-2.4617505,0.5828068254279406,1.0,0.0019083969465648854,0.01242056614673599,-0.010512169200171105,False,False
APELA,-0.5503984,-1.0570585,0.5820461461671358,1.0,0.025763358778625955,0.03581744656268053,-0.010054087784054574,True,False
NSMCE4A,-0.5512985,-0.5864584,0.581429052943794,1.0,0.22328244274809161,0.20465049104563837,0.018631951702453242,False,False
PHF10,-0.551637,-0.4797092,0.581197105069728,1.0,0.32061068702290074,0.2768630849220104,0.04374760210089035,False,False
RPUSD4,-0.551961,-0.8573596,0.5809750678934407,1.0,0.0982824427480916,0.10153090699017908,-0.0032484642420874815,False,False
CADM2,-0.5543733,-3.01614,0.5793233737272843,1.0,0.004770992366412214,0.015309069901790873,-0.010538077535378658,False,True
EFHB,-0.5571241,-2.6414726,0.5774426433547493,1.0,0.003816793893129771,0.014442518775274409,-0.010625724882144638,False,False
CES4A,-0.55748415,-1.2647918,0.577196687403049,1.0,0.02099236641221374,0.03119584055459272,-0.01020347414237898,True,False
KIAA1257,-0.55758494,-3.2699194,0.5771278285815855,1.0,0.0019083969465648854,0.012564991334488735,-0.01065659438792385,False,False
GLB1L2,-0.5584491,-22.890427,0.5765377689349344,1.0,0.0,0.010687463893703062,-0.010687463893703062,True,False
TSPOAP1,-0.5584491,-23.01786,0.5765377689349344,1.0,0.0,0.010687463893703062,-0.010687463893703062,False,False
RNF208,-0.5595508,-2.0132732,0.5757858557907509,1.0,0.004770992366412214,0.015453495089543617,-0.010682502723131402,False,False
MORN1,-0.55992526,-1.5036075,0.5755304090911011,1.0,0.01812977099236641,0.028451761987290585,-0.010321990994924174,False,False
AC108673.3,-0.56076777,-1.7389784,0.5749558498552045,1.0,0.013358778625954198,0.023830155979202773,-0.010471377353248575,False,False
PAQR5,-0.56137985,-3.666063,0.5745386052100085,1.0,0.0009541984732824427,0.01169844020797227,-0.010744241734689828,False,True
YPEL1,-0.5623232,-1.8860216,0.5738958383163782,1.0,0.01049618320610687,0.021086077411900637,-0.010589894205793766,False,False
RAB9B,-0.56353295,-2.0208318,0.5730720255064066,1.0,0.0057251908396946565,0.016464471403812825,-0.01073928056411817,False,False
CPNE5,-0.56367695,-2.1170332,0.572973989933937,1.0,0.0057251908396946565,0.016464471403812825,-0.01073928056411817,False,False
CLDN23,-0.5640586,-1.3627874,0.5727142341586109,1.0,0.02194656488549618,0.032206816868861926,-0.010260251983365744,False,True
MAP7,-0.56408024,-1.660169,0.572699532673276,1.0,0.01717557251908397,0.027585210860774118,-0.010409638341690147,False,False
CYP39A1,-0.56554925,-3.6352382,0.5717002521959402,1.0,0.0019083969465648854,0.012709416522241479,-0.010801019575676593,False,True
MMP3,-0.5662549,-1.0829405,0.5712205006825447,1.0,0.02480916030534351,0.035239745811669554,-0.010430585506326043,True,False
CCDC9B,-0.5690489,-3.8237941,0.5693229595649301,1.0,0.0009541984732824427,0.011842865395725015,-0.010888666922442572,False,False
CNNM1,-0.5692793,-4.012899,0.5691665957541154,1.0,0.0009541984732824427,0.011842865395725015,-0.010888666922442572,False,True
FBXO44,-0.56961775,-0.8638215,0.5689369735936506,1.0,0.09351145038167939,0.09777585210860774,-0.004264401726928352,False,False
FHIT,-0.56995624,-1.1081871,0.5687073956964964,1.0,0.04007633587786259,0.04953783939919122,-0.00946150352132863,False,False
PCSK1,-0.57174206,-2.4762619,0.5674967396336259,1.0,0.003816793893129771,0.014731369150779897,-0.010914575257650126,True,False
NFASC,-0.5731102,-3.2482522,0.5665700566030705,1.0,0.003816793893129771,0.014731369150779897,-0.010914575257650126,False,True
TCEAL2,-0.5735423,-23.256502,0.5662775707042133,1.0,0.0,0.01097631426920855,-0.01097631426920855,False,False
AC007563.2,-0.5737007,-2.264515,0.5661703440304613,1.0,0.007633587786259542,0.01848642403235124,-0.0108528362460917,False,False
NOSTRIN,-0.575861,-0.94075406,0.5647091353599112,1.0,0.01717557251908397,0.02801848642403235,-0.01084291390494838,False,False
AC087741.1,-0.5762715,-3.5022116,0.5644317109458805,1.0,0.0009541984732824427,0.011987290583477759,-0.011033092110195316,False,False
