gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
GPR88,-0.22640538,-2.3815908,0.8208861470807303,1.0,0.0009541984732824427,0.005469678953626635,-0.004515480480344192,False,True
SOX3,-0.22642814,-1.9513873,0.8208684423203388,1.0,0.0019083969465648854,0.0064209274673008325,-0.004512530520735947,False,False
SNX13,-0.22646229,-0.35649854,0.8208418853508751,1.0,0.2385496183206107,0.21997621878715815,0.01857339953345255,False,True
C21orf62-AS1,-0.22649644,-1.3208635,0.8208153285867856,1.0,0.003816793893129771,0.008323424494649227,-0.004506630601519457,False,False
HSPA14-1,-0.22650783,-0.4769619,0.820806476377733,1.0,0.16793893129770993,0.1590963139120095,0.008842617385700413,False,False
FSIP2,-0.22654197,-1.5234045,0.8207799198875214,1.0,0.003816793893129771,0.008323424494649227,-0.004506630601519457,False,False
RGL3,-0.22654197,-2.7625022,0.8207799198875214,1.0,0.0009541984732824427,0.005469678953626635,-0.004515480480344192,False,False
AC010883.1,-0.22661027,-2.9692051,0.8207268075234561,1.0,0.0009541984732824427,0.005469678953626635,-0.004515480480344192,False,False
SLC52A1,-0.22661027,-2.1289313,0.8207268075234561,1.0,0.0019083969465648854,0.0064209274673008325,-0.004512530520735947,False,True
MAP1LC3C,-0.22661027,-2.3262,0.8207268075234561,1.0,0.0019083969465648854,0.0064209274673008325,-0.004512530520735947,False,False
LRRC7,-0.2266558,-21.672882,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
FNDC11,-0.2266558,-21.546926,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
AL049839.2,-0.2266558,-21.270935,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
AC026461.3,-0.2266558,-21.456036,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
AC027117.2,-0.2266558,-21.369595,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
AC093772.1,-0.2266558,-21.432236,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
CNTNAP2,-0.2266558,-21.446022,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,True
GRIA1,-0.2266558,-21.420109,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,True
LINC01124,-0.2266558,-21.167294,0.8206913997374014,1.0,0.0,0.004518430439952438,-0.004518430439952438,False,False
ADAP1,-0.2267241,-1.5054338,0.8206382887434769,1.0,0.003816793893129771,0.008323424494649227,-0.004506630601519457,False,False
LINC00840,-0.22676963,-3.7454402,0.820602881871067,1.0,0.0009541984732824427,0.005469678953626635,-0.004515480480344192,False,False
CTRC,-0.22676963,-2.589248,0.820602881871067,1.0,0.0019083969465648854,0.0064209274673008325,-0.004512530520735947,True,False
LEFTY2,-0.22683792,-1.6073394,0.820549772247936,1.0,0.003816793893129771,0.008323424494649227,-0.004506630601519457,True,False
AC011944.1,-0.22688346,-2.7895741,0.8205143662896062,1.0,0.0019083969465648854,0.0064209274673008325,-0.004512530520735947,False,False
TTC12,-0.22706558,-1.4604857,0.8203727461145212,1.0,0.004770992366412214,0.009274673008323424,-0.00450368064191121,False,False
CARD10,-0.22715664,-1.5482093,0.820301938222894,1.0,0.004770992366412214,0.009274673008323424,-0.00450368064191121,False,False
NOXA1,-0.22722495,-2.3700974,0.8202488332653435,1.0,0.0028625954198473282,0.007372175980975029,-0.004509580561127701,False,False
RNF217-AS1,-0.22722495,-2.6731498,0.8202488332653435,1.0,0.0028625954198473282,0.007372175980975029,-0.004509580561127701,False,False
PDE9A,-0.22724771,-0.7995493,0.820231131795953,1.0,0.012404580152671756,0.016884661117717005,-0.0044800809650452494,False,False
MORN3,-0.22736153,-2.0454316,0.8201426258228397,1.0,0.003816793893129771,0.008323424494649227,-0.004506630601519457,False,False
AC017002.3,-0.2274526,-1.5569664,0.8200718226934782,1.0,0.0057251908396946565,0.010225921521997621,-0.004500730682302965,False,False
Z68871.1,-0.22815834,-1.4437743,0.8195231482067664,1.0,0.006679389312977099,0.01117717003567182,-0.004497780722694721,False,False
ITGA9,-0.22816972,-0.4961685,0.8195142993414889,1.0,0.06297709923664122,0.06563614744351962,-0.0026590482068784005,False,True
AC027644.3,-0.2284429,-0.4403952,0.8193019334720731,1.0,0.17270992366412213,0.16409036860879905,0.00861955505532308,False,False
AC008622.2,-0.22856812,-0.78964335,0.8192046035435001,1.0,0.011450381679389313,0.015933412604042806,-0.004483030924653493,False,False
AC109347.1,-0.22870472,-1.7244732,0.8190984286164841,1.0,0.006679389312977099,0.01117717003567182,-0.004497780722694721,False,False
PCDHB5,-0.22895513,-0.83464706,0.818903783199526,1.0,0.013358778625954198,0.0178359096313912,-0.004477131005437002,False,True
AL645933.2,-0.22927386,-1.494445,0.8186560688105922,1.0,0.008587786259541985,0.013079667063020214,-0.004491880803478229,False,False
AC096733.2,-0.22952428,-0.9499483,0.8184614487735626,1.0,0.013358778625954198,0.0178359096313912,-0.004477131005437002,False,False
RBM26-AS1,-0.22963811,-0.7398442,0.8183729888175538,1.0,0.015267175572519083,0.019738406658739594,-0.004471231086220511,False,False
ECT2,-0.22983162,-0.40422532,0.8182226121995604,1.0,0.04484732824427481,0.04875148632580262,-0.00390415808152781,False,False
DCAF12L2,-0.23002513,-1.2315063,0.8180722422693367,1.0,0.01049618320610687,0.01498216409036861,-0.004485980884261739,False,False
BTBD8,-0.23013896,-0.552766,0.8179837924953991,1.0,0.019083969465648856,0.023543400713436385,-0.00445943124778753,False,False
ZNF467,-0.23050322,-0.83580583,0.8177007687946414,1.0,0.012404580152671756,0.016884661117717005,-0.0044800809650452494,False,False
HOXC8,-0.23071949,-0.2970861,0.8175327347129115,1.0,0.30916030534351147,0.28228299643281807,0.026877308910693398,False,False
HIST1H1E,-0.23103821,-0.42354682,0.8172851208245002,1.0,0.05438931297709924,0.05802615933412604,-0.003636846357026803,False,False
RFFL,-0.2316415,-0.76755124,0.8168164730457504,1.0,0.04007633587786259,0.04375743162901308,-0.0036810957511504844,False,False
RBBP4,-0.23227894,-0.21172687,0.816321369190544,1.0,0.45038167938931295,0.39643281807372177,0.05394886131559118,False,False
ARL17A,-0.23241553,-0.65486354,0.8162152850374997,1.0,0.04484732824427481,0.04851367419738407,-0.0036663459531092596,False,False
TCF4,-0.23421402,0.026655992,0.8148188251547195,1.0,0.9303435114503816,0.8825208085612366,0.04782270288914503,True,False
FKBPL,-0.23435062,-0.56218934,0.8147127888862465,1.0,0.10782442748091603,0.10630202140309156,0.001522406077824473,False,False
CPNE7,-0.23752645,-1.0682595,0.8122484064180757,1.0,0.0028625954198473282,0.007609988109393579,-0.004747392689546251,False,False
LINC01679,-0.23753783,-0.64776015,0.8122395768341931,1.0,0.007633587786259542,0.012366230677764566,-0.004732642891505024,False,False
AKR7A3,-0.23811835,-1.00311,0.8117892997368987,1.0,0.004770992366412214,0.009512485136741973,-0.004741492770329759,False,False
LINC01176,-0.23820941,-1.1551269,0.8117186736789553,1.0,0.004770992366412214,0.009512485136741973,-0.004741492770329759,False,False
AC093799.1,-0.23830047,-1.5825337,0.8116480491530205,1.0,0.0028625954198473282,0.007609988109393579,-0.004747392689546251,False,False
EMILIN3,-0.23836878,-1.6138061,0.811595081764282,1.0,0.0028625954198473282,0.007609988109393579,-0.004747392689546251,True,False
SLC14A2-AS1,-0.23836878,-2.5912848,0.811595081764282,1.0,0.0009541984732824427,0.005707491082045184,-0.004753292608762742,False,False
PSMD6-AS1,-0.23838016,-0.962098,0.8115862539499872,1.0,0.007633587786259542,0.012366230677764566,-0.004732642891505024,False,False
CNIH1,-0.23844846,-0.13863066,0.8115332875672862,1.0,0.541030534351145,0.4703923900118906,0.07063814433925442,False,True
AC087482.1,-0.23858505,-21.415855,0.8114273573898281,1.0,0.0,0.0047562425683709865,-0.0047562425683709865,False,False
TSPOAP1-AS1,-0.23858505,-21.25772,0.8114273573898281,1.0,0.0,0.0047562425683709865,-0.0047562425683709865,False,False
