gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
RNASEH1,18.407211,0.9298633,1.1499420465268756e-75,2.202400779847391e-74,0.5959423587409935,0.28903345724907065,0.3069089014919229
FTSJ1,18.398447,1.4118322,1.351832055482892e-75,2.5877119890519793e-74,0.4334470989761092,0.1449814126394052,0.288465686336704
COMMD5,18.39577,1.2120515,1.4203227451185464e-75,2.7173974109429586e-74,0.48293515358361777,0.1854089219330855,0.29752623165053227
CAPZA2,18.375563,0.66371584,2.061585620808733e-75,3.940158418882487e-74,0.8540007584376185,0.6394052044609665,0.21459555397665198
GDI2,18.349415,0.55156565,3.336854773597994e-75,6.367512237418487e-74,0.9152445961319682,0.7825278810408922,0.13271671509107597
VCL,18.34485,0.69742185,3.629185134372535e-75,6.921739234915831e-74,0.8456579446340539,0.6533457249070632,0.19231221972699064
DCAF13,18.333803,0.9761255,4.44699813989853e-75,8.477090204181573e-74,0.590064467197573,0.28903345724907065,0.30103100994850235
ANXA6,18.328947,0.6977884,4.862299783551285e-75,9.263933996771318e-74,0.8320060675009481,0.5859665427509294,0.24603952475001867
ZNF827,18.3121,1.2078255,6.626488338917008e-75,1.2618599022079213e-73,0.4709897610921502,0.1770446096654275,0.2939451514267227
GOLGA3,18.280588,0.8522002,1.1814431481131266e-74,2.2462763231657364e-73,0.7042093287827076,0.41821561338289964,0.28599371539980795
EIF3I,18.277851,0.57772386,1.2422682657979679e-74,2.3606967044758892e-73,0.8955252180508153,0.7518587360594795,0.1436664819913358
EBNA1BP2,18.23535,0.89530015,2.705142287772897e-74,5.1273023165452115e-73,0.643344709897611,0.3545539033457249,0.28879080655188605
PAGR1,18.23503,1.0219316,2.7211280488506796e-74,5.1549320180090515e-73,0.5519529768676527,0.25325278810408924,0.2987001887635634
NUDT2,18.231455,1.2117152,2.9048948541026727e-74,5.500214778073348e-73,0.4719378081152825,0.17890334572490707,0.29303446239037545
MRPS14,18.222609,1.0472728,3.4148622679883093e-74,6.462459100743129e-73,0.5293894577171028,0.2295539033457249,0.2998355543713779
TMBIM4,18.222435,0.55266774,3.4256772887612947e-74,6.479575646959348e-73,0.9355328024270004,0.8039033457249071,0.13162945670209336
GSTZ1,18.214691,1.453265,3.946374024211852e-74,7.456752157261423e-73,0.4148653773227152,0.12685873605947956,0.28800664126323566
KIFAP3,18.2082,0.78911763,4.443118665235802e-74,8.391029058185261e-73,0.7193780811528252,0.43866171003717475,0.28071637111565045
IFT22,18.191263,0.9550383,6.052821429032288e-74,1.1419240427968132e-72,0.5786879029199848,0.2736988847583643,0.30498901816162055
PDIA6,18.183073,0.6163849,7.0282801995648495e-74,1.3245883383319953e-72,0.9135381114903299,0.75,0.16353811149032993
NAPA,18.171947,0.82326514,8.608883250044587e-74,1.6191424817658372e-72,0.6992794842624194,0.4144981412639405,0.28478134299847885
PAWR,18.159227,1.5636111,1.0854036900339213e-73,2.0393108344579835e-72,0.3769434963974213,0.09526022304832714,0.28168327334909415
ACOT9,18.15714,0.8699419,1.1274749741840523e-73,2.1172695769695387e-72,0.6266590822904816,0.32481412639405205,0.30184495589642957
SMIM30,18.156185,1.1923957,1.1472452773690071e-73,2.1510848950668882e-72,0.46890405764125903,0.17425650557620817,0.2946475520650509
TIMM10,18.150679,0.84017277,1.2682328298561378e-73,2.376718974538384e-72,0.6566173682214638,0.3513011152416357,0.30531625297982806
RP11-145A3.1,18.146479,2.5335412,1.3689938868935473e-73,2.564236246689039e-72,0.3160788775123246,0.04228624535315985,0.2737926321591648
SMIM15,18.137894,0.82728183,1.6004600046016414e-73,2.991666811461699e-72,0.6579446340538491,0.3475836431226766,0.3103609909311725
TAF9,18.132835,0.81087923,1.7547280629903008e-73,3.278358708802706e-72,0.6951080773606371,0.4028810408921933,0.2922270364684438
SLC35A2,18.124287,1.5025464,2.0498393417776324e-73,3.8277612198500687e-72,0.4044368600682594,0.1212825278810409,0.2831543321872185
BUD31,18.116627,0.6044936,2.3560440907834517e-73,4.397308195954836e-72,0.8860447478194918,0.7174721189591078,0.16857262886038404
SRP9,18.113579,0.5460859,2.4902293519380134e-73,4.645381971505162e-72,0.9050056882821388,0.779275092936803,0.12573059534533582
PFKL,18.106556,0.8589627,2.828998503825113e-73,5.2692796559796e-72,0.6503602578687903,0.36059479553903345,0.2897654623297568
ARFRP1,18.105131,1.0031446,2.9032083993077924e-73,5.404752157409216e-72,0.5415244596131968,0.23884758364312267,0.3026768759700742
CDC42EP3,18.096434,1.3825083,3.399862595596834e-73,6.326129689824307e-72,0.4389457717102768,0.15845724907063197,0.28048852263964485
MRPL37,18.095407,0.98152053,3.463777188619795e-73,6.441780747128277e-72,0.5485400075843762,0.24767657992565056,0.3008634276587256
ARL6IP4,18.082312,0.5017832,4.392718697174258e-73,8.156951005407298e-72,0.9315510049298446,0.8382899628252788,0.09326104210456576
USE1,18.080929,1.064318,4.504379815773664e-73,8.360055844691486e-72,0.521805081532044,0.22304832713754646,0.2987567543944975
ARMH4,18.064564,1.3653326,6.059891984803743e-73,1.1235665990061651e-71,0.4262419416003034,0.14312267657992564,0.28311926502037776
SLC7A8,18.04514,1.2544261,8.61466159313785e-73,1.5956306392148043e-71,0.45544178991277967,0.17146840148698886,0.2839733884257908
SMIM12,18.040367,1.0270233,9.391817995870299e-73,1.7369405692210861e-71,0.5316647705726204,0.23094795539033458,0.3007168151822858
VTI1B,18.039574,0.743792,9.527632333118011e-73,1.761168400970299e-71,0.7466818354190368,0.4721189591078067,0.27456287631123005
