gene,k_mean,n_mean,delta,log_ratio,specificity,cohens_d,zsum,borda_rank
AC092910.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092903.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092894.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092807.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092849.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092839.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092835.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092834.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092832.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092813.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092813.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092809.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092683.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006942.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093484.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006511.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093864.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093857.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093849.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093843.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006538.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093835.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093833.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093821.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093817.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093810.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006547.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006547.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093801.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093797.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006547.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093788.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093879.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093893.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093895.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093899.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095350.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095060.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095059.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095056.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095055.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095050.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095032.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC095030.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093772.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093915.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093909.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093909.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006504.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093904.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093904.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093903.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006504.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093901.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093911.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093766.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093734.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093732.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093599.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093591.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093585.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093567.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093536.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093535.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093534.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006581.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006581.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093525.7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093525.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093525.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093525.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093523.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093515.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093512.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093496.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093484.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093525.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093462.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093627.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093732.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093730.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093726.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093725.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093725.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093722.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093689.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093620.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093677.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093668.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093655.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093639.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093627.7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC006557.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093627.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093627.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093627.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC093673.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092683.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092681.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092681.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091946.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091944.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091939.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091932.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091917.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007106.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091917.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091906.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091891.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091887.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091885.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091868.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091849.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091826.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091946.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091962.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091965.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007099.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092112.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092078.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092073.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092070.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092070.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091820.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092070.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092068.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092059.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092042.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092042.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091980.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091979.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007099.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091965.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092069.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091820.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091819.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091819.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091198.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091185.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091182.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091180.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091180.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091180.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091167.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091153.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091212.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091138.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091132.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091117.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091096.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091078.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091152.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091271.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091488.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091814.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091806.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091736.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091730.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091729.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091729.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091705.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091435.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091588.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091564.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091564.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091563.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091551.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091489.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC091614.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092115.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092118.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092535.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092490.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092490.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092447.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092440.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092436.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092435.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092535.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092435.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092422.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092384.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092384.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007036.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092378.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092376.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092376.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092375.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092368.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092546.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092574.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092675.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092674.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092673.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092667.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092666.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092653.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092652.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092650.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092567.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092637.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092620.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092614.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092611.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092608.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092590.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092587.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092574.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007032.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC079354.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007038.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007040.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092164.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092162.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092159.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092155.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092143.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092142.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092140.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092168.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092140.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092131.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092130.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092127.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092127.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092119.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092138.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007040.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092171.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092171.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092364.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092354.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007064.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092354.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007091.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092343.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092338.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092338.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092171.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092337.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092316.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092301.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092296.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092295.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092295.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092279.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092192.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC092335.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC096543.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC079354.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC079340.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036176.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036108.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036108.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036103.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC035140.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007728.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034245.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034236.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034236.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034234.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034231.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034229.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034229.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036214.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC036222.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037441.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037450.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007686.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC044781.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040977.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040970.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040963.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040934.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040914.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040173.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040162.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040162.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC039056.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037487.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037486.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037459.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037459.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC037459.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC040169.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007731.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034228.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034228.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027808.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007785.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027804.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027801.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027801.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027796.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027779.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027702.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC032011.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027698.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027688.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007785.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027682.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007786.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007786.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027682.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027682.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027682.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC027688.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007686.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007773.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC032044.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034228.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC034223.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
AC007731.4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
