source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Fibroblast,Pericyte_SMC,HSPG2,ITGB1,0.8628787,0.0,0.45772597,0.32971936144213787,0.7987687165739257,0.0850626,0.9066921,0.16528492414831142,0.8300004215637101,Normal scar
Fibroblast,Fibroblast,VEGFA,NRP1,0.299376,0.33,0.087375246,0.007500149535569045,0.005652357623248561,0.029597864,0.8093619,1.0,0.8309464708464929,Normal scar
Fibroblast,T_cell,LAMB2,CD44,0.8563123,0.0,0.459791,0.2967339853116751,0.6538509449433962,0.08735276,0.90688235,0.16528492414831142,0.8310733150839615,Normal scar
Fibroblast,Keratinocyte,PTN,SDC4,0.80182374,0.0,0.6277586,0.8657533841705924,1.9232595921739657,0.43042824,0.9192233,0.0018541929220687395,0.8310733150839615,Normal scar
Pericyte_SMC,Fibroblast,COL14A1,CD44,0.71536064,0.56,0.4586169,0.014668530814049272,-0.08243995535781468,0.032291062,0.90677434,1.0,0.8317814783943425,Normal scar
Pericyte_SMC,Keratinocyte,ANGPT1,ITGB1,0.49983436,0.3,0.19967704,0.22817773850967416,0.37710242880982614,0.11620274,0.8651936,1.0,0.8317814783943425,Normal scar
T_cell,T_cell,TIMP1,CD63,0.49424225,1.0,0.2356459,-0.26153929095745176,-0.7811095619855492,0.010612379,0.8745639,1.0,0.8317814783943425,Normal scar
Keratinocyte,Endothelial,CXCL2,ACKR1,1.1018449,0.0,0.45901382,0.5892491258311741,0.6670646618180744,0.043623894,0.9068109,0.6944881982297101,0.8335650813253677,Normal scar
Fibroblast,Endothelial,TIMP3,MET,0.5833912,0.0,0.19929416,0.2817749108525796,0.48638221520416547,0.11391105,0.86508167,0.25706005101658264,0.8335650813253677,Normal scar
T_cell,Endothelial,LGALS3,MCAM,0.49409294,1.0,0.23749629,-0.09745112073417128,-0.32207778595340386,0.024045957,0.87499225,1.0,0.8335650813253677,Normal scar
Fibroblast,Endothelial,VEGFB,ADRB2,0.29609397,0.0,0.08737732,0.24829287847691472,0.5360918608719574,0.102770746,0.8093638,0.29621285651708223,0.8343215492485532,Normal scar
Fibroblast,Keratinocyte,HSPA8,LDLR,0.8011622,0.0,0.5885588,0.17945346463276107,0.2507661928894347,0.05599408,0.9167969,0.6827286991044933,0.8348726709149896,Normal scar
Fibroblast,Endothelial,COL4A1,CD93,0.50801665,0.0,0.1988626,0.511982889358911,0.9898655320751196,0.15340929,0.86495507,0.09749183920948234,0.8353512321753687,Normal scar
Fibroblast,Endothelial,SERPING1,SELP,0.7914205,0.0,0.45921046,0.8040839474086461,1.5697316981840213,0.43087512,0.906829,0.011339398413544553,0.8353512321753687,Normal scar
Endothelial,T_cell,CD55,ADGRE5,0.49329683,0.0,0.23674455,0.1663128345570027,0.39767189137932213,0.060046013,0.87481874,0.678779447279777,0.8353512321753687,Normal scar
Endothelial,Fibroblast,VWF,LRP1,0.80030555,0.0,0.6400763,0.9520527210087494,1.9802495065464383,0.5331892,0.91994184,0.0014695151631552896,0.8367740767280517,Normal scar
Keratinocyte,Pericyte_SMC,VIM,CD44,0.6901531,1.0,0.45924315,-0.8136154223584694,-1.8302989052499674,0.004100274,0.906832,1.0,0.837140161835903,Normal scar
T_cell,Pericyte_SMC,PKM,CD44,0.5315236,1.0,0.19883746,-0.13344089514177376,-0.2323885982933399,0.016988114,0.8649477,1.0,0.837140161835903,Normal scar
Fibroblast,Keratinocyte,FGF7,FGFR3,0.2989902,0.0,0.08750771,0.5064646719535819,0.8793979412612762,0.3693265,0.8094787,0.09749183920948234,0.8376931786249459,Normal scar
Pericyte_SMC,Myeloid,VEGFA,ITGB1,0.49246463,1.0,0.239199,-0.09523575525492556,-0.22626210606024166,0.021291476,0.8753824,1.0,0.8389314143062562,Normal scar
Myeloid,Keratinocyte,TGFB1,CAV1,0.56611216,0.31,0.19823878,0.050500171327495895,-0.10195132876371643,0.040975675,0.8647715,1.0,0.8389314143062562,Normal scar
Fibroblast,Pericyte_SMC,C3,ADRA2A,0.79921293,0.0,0.61450005,0.9547756317052545,2.2914377778096204,0.6182818,0.9184272,0.00037695504429418827,0.8405805692952345,Normal scar
Pericyte_SMC,Pericyte_SMC,COL6A2,CD44,0.6905166,1.0,0.45983982,-0.08936724526258705,-0.2971737462644849,0.021638062,0.9068868,1.0,0.840725220151566,Normal scar
T_cell,Endothelial,GNAI2,S1PR1,0.4923138,0.0,0.2302141,0.42185448841148865,0.7665822511422855,0.11572769,0.8732791,0.09749183920948234,0.840725220151566,Normal scar
Endothelial,Endothelial,COL18A1,ITGA5,0.2965194,0.0,0.087531984,0.2178059886724128,0.32030113267979987,0.0840018,0.80950016,0.5343558686230839,0.8410612529282006,Normal scar
Keratinocyte,Fibroblast,HLA-A,APLP2,0.79907304,0.99,0.5196356,-0.036175594406525645,-0.23884920166598922,0.026599692,0.9119216,1.0,0.8424856489258463,Normal scar
Fibroblast,Endothelial,LAMA2,ITGA6_ITGB1,0.5527605,0.0,0.19737583,0.6897904683486663,1.3443346144045898,0.42552254,0.86451626,0.036503349813782025,0.8425215811904145,Normal scar
Pericyte_SMC,Keratinocyte,GSTP1,EGFR,0.49200338,0.0,0.21761678,0.12576085439315116,0.2849990072947207,0.054628756,0.87013257,0.9709230753795399,0.8425215811904145,Normal scar
Myeloid,Myeloid,CD99,CD81,0.4918843,1.0,0.23282723,-0.22479616729847318,-0.7384859428349069,0.011436284,0.87390226,1.0,0.8443207296224092,Normal scar
Keratinocyte,Endothelial,APOE,SCARB1,0.59081686,0.0,0.19709864,0.4224368566055605,0.35016016618974605,0.20879519,0.8644339,0.4744757206075625,0.8443207296224092,Normal scar
Endothelial,Fibroblast,APP,LRP1,0.79841363,0.0,0.6369711,0.6473822482328051,1.3615772064048295,0.20968835,0.91976255,0.05505632452538686,0.844391783362349,Normal scar
Fibroblast,Endothelial,ECM1,ITGB4,0.3030233,0.0,0.087847404,0.5254189845421793,0.9524397485768451,0.38084912,0.8097774,0.09749183920948234,0.8444258279382129,Normal scar
Pericyte_SMC,Keratinocyte,THBS1,SDC1,0.49111843,0.0,0.22603028,0.5471525299116513,1.0891920581456902,0.26202157,0.8722608,0.09749183920948234,0.8461222068316676,Normal scar
Keratinocyte,Endothelial,LGALS1,ITGB1,0.5821179,1.0,0.19691987,-0.3720394944539809,-1.4886592925504545,0.004264567,0.8643807,1.0,0.8461222068316676,Normal scar
Endothelial,Pericyte_SMC,COL1A1,DDR2,0.29658428,1.0,0.087892994,-0.03407548115107037,-1.3459080479157082,0.01903441,0.80981725,1.0,0.8477869054737397,Normal scar
Fibroblast,Endothelial,FN1,ROBO4,0.58094674,0.0,0.19665447,0.7010190837656027,1.4155153417468886,0.47815582,0.8643016,0.026707791637150865,0.8479262446904454,Normal scar
Myeloid,Pericyte_SMC,GNAI2,EDNRA,0.49095637,0.0,0.23683469,0.39892642508347526,0.8860070922289311,0.15393114,0.8748396,0.09749183920948234,0.8479262446904454,Normal scar
Myeloid,Myeloid,F13A1,ITGB1,0.69365895,0.0,0.460555,0.2934984562112689,0.6459899578649363,0.069371834,0.90695244,0.31794442842898885,0.8479262446904454,Normal scar
Pericyte_SMC,Fibroblast,COL6A3,CD44,0.7980366,0.25,0.61501443,0.02776147994436519,-0.0016914066686601892,0.03265468,0.9184586,1.0,0.8482076898292801,Normal scar
Fibroblast,Pericyte_SMC,MDK,NCL,0.5539152,0.1,0.19613963,0.1382341821305984,0.3103239369723268,0.07204847,0.8641479,1.0,0.8497328450173253,Normal scar
Fibroblast,Endothelial,NAMPT,ITGA5_ITGB1,0.48921388,0.37,0.20943546,0.11958365942199983,0.166566974146672,0.057446778,0.86795205,1.0,0.8497328450173253,Normal scar
Endothelial,Fibroblast,HSPG2,ITGB1,0.7558466,0.0,0.4630818,0.2888201795896175,0.5586853666172531,0.08605792,0.90718305,0.17505630797109828,0.8497328450173253,Normal scar
Myeloid,Pericyte_SMC,VEGFA,CD44,0.7979792,0.0,0.63625,0.1613845795213246,0.42192690059932414,0.048580144,0.91972077,0.7893876882851878,0.8501174547343373,Normal scar
T_cell,Fibroblast,GSTP1,EGFR,0.29679435,1.0,0.08807531,-0.06414286046254397,-0.18500057581440843,0.022109712,0.80997676,1.0,0.8511444873535383,Normal scar
Endothelial,Myeloid,HSPG2,ITGB1,0.48849005,1.0,0.2348261,0.07445046808087119,-0.0013222205323247804,0.04363947,0.87437254,1.0,0.8515422413236886,Normal scar
Endothelial,Fibroblast,GNAI2,F2R,0.5502635,0.0,0.1961151,0.380853333518711,0.8004490815413456,0.12757236,0.8641405,0.09749183920948234,0.8515422413236886,Normal scar
Pericyte_SMC,Endothelial,LGALS3,ENG,0.69356596,0.0,0.4658572,0.28984172951980264,0.5751938728922489,0.08638454,0.9074343,0.17363453820740096,0.8533539723710355,Normal scar
Endothelial,T_cell,VWF,ITGB1,0.79602075,0.0,0.63339204,0.49058527758084675,1.0318742115435433,0.12856297,0.9195544,0.09749183920948234,0.8539403453124085,Normal scar
Keratinocyte,Endothelial,ACTR2,ADRB2,0.29744673,1.0,0.08822483,-0.029162414325038175,-0.2266884363603106,0.024003698,0.81010723,1.0,0.8544985753963661,Normal scar
Fibroblast,Keratinocyte,THBS1,ITGA6,0.48743236,0.0,0.21833648,0.25358898816019965,0.4961475209998979,0.08156617,0.87031895,0.26965042031224246,0.8551682713424655,Normal scar
Pericyte_SMC,Endothelial,COL4A1,CD93,0.6865278,0.0,0.46711656,0.7613663110182058,1.7018760696320752,0.36034942,0.90754765,0.0060247367858959865,0.8569851400565609,Normal scar
Keratinocyte,Fibroblast,APP,LRP1,0.52951217,0.0,0.19563907,0.33531004597549685,0.5744903459880258,0.0644036,0.8639978,0.39035234957250314,0.8569851400565609,Normal scar
Pericyte_SMC,Pericyte_SMC,TIMP1,CD63,0.79435307,0.88,0.49017468,-0.03059916619336181,-0.12430758349949744,0.022075154,0.9095493,1.0,0.8577678555395436,Normal scar
Fibroblast,Fibroblast,MFGE8,ITGAV,0.306085,0.0,0.088456616,0.22149060984841698,0.5229460834054427,0.088474415,0.810309,0.38905280063864645,0.85784917142098,Normal scar
Fibroblast,Endothelial,LAMA4,ITGA6_ITGB1,0.70578647,0.0,0.4672065,0.7135038125117259,1.50649145948687,0.2929335,0.9075557,0.016103041253519922,0.8588048133402006,Normal scar
Keratinocyte,Keratinocyte,ACTR2,ADRB2,0.48812932,0.0,0.19563395,0.2581332122321151,0.26026751655885416,0.053226944,0.86399627,0.6554425190418497,0.8588048133402006,Normal scar
Myeloid,T_cell,VEGFA,ITGB1,0.7936054,0.0,0.6294693,0.20964647961862742,0.5526370599142368,0.05603004,0.9193243,0.5594879250270989,0.8596833952276252,Normal scar
Pericyte_SMC,Keratinocyte,COL6A3,ITGA2_ITGB1,0.48686865,0.0,0.21035539,0.322072371931874,0.6585003654716747,0.12453636,0.868203,0.11705330397234438,0.8606268273248204,Normal scar
Myeloid,Myeloid,GNAI2,C5AR1,0.6982448,0.0,0.46725264,0.6123782160899041,1.4386332483227036,0.20024225,0.9075599,0.06699379577338527,0.8606268273248204,Normal scar
Myeloid,Fibroblast,CALR,ITGAV,0.5352359,0.0,0.19558765,0.1907407429249478,0.4580091873170442,0.06188248,0.8639823,0.5277994324891943,0.8606268273248204,Normal scar
Fibroblast,Pericyte_SMC,COL18A1,ITGA1_ITGB1,0.2986635,0.0,0.08852883,0.25186505897807593,0.6378919077340012,0.11353481,0.81037176,0.2756148124079389,0.8611962772461372,Normal scar
Myeloid,Fibroblast,VEGFA,NRP1,0.51354694,0.0,0.19528909,0.25904952307916684,0.6217119575850408,0.066153064,0.86389256,0.3625041438113187,0.8624514165080863,Normal scar
T_cell,Pericyte_SMC,TIMP1,CD63,0.7854815,0.94,0.46942207,-0.03855475968860543,-0.19673025487054419,0.021140555,0.907754,1.0,0.8624514165080863,Normal scar
T_cell,Fibroblast,COL1A1,CD44,0.7920463,1.0,0.6036828,-0.1578423432842262,-1.0755558218519121,0.014902231,0.9177595,1.0,0.8635177804386073,Normal scar
Myeloid,Endothelial,PDGFB,S1PR1,0.48622945,0.0,0.22288147,0.7462591102075824,1.4367924742147513,0.5135424,0.8714772,0.02332340635140335,0.8642788167059549,Normal scar
Keratinocyte,Myeloid,VEGFA,NRP1,0.30017036,0.37,0.0887061,0.00955292813413881,-0.10086149465066951,0.030048681,0.81052536,1.0,0.8645398946905953,Normal scar
T_cell,Keratinocyte,CD99,CD81,0.68756664,1.0,0.4712833,-0.057281085686749736,-0.27013973960191107,0.023149047,0.9079195,1.0,0.8661085620724049,Normal scar
